id;street_address;postal_code;city;state_province
1;phew;upside-down ah develop;Kutchland;coincide
2;supposing lest;via sushi jumbo;New Lucinda;eek swiftly
3;tremendously;brightly ugh;Darrelfield;aside expostulate
4;yum very unfortunately;unbearably um square;Monserratmouth;confiscate patiently
5;ew knowledgeably;too;West Katrineboro;sparse huzzah eek
6;knavishly acquire;mantua;Fort Hoytton;circa humiliating blaspheme
7;navigate gadzooks;boring but guard;Eileenchester;pity heavy
8;mad obesity;successfully;Wilson;gee
9;down snoopy;deeply um that;Cormierside;violin the
10;gah;kindly;Koleshire;yawningly lonely drat
